page,title,total_internal_outbound_links,total_internal_outbound_links_to_crawled_pages,total_internal_inbound_links,depth_from_homepage,is_orphan_page,has_lt_5_inbound_links,has_gt_50_outbound_links,holiday_primary_category,holiday_inferred_tags,structural_weakness_score,authority_hub_score
/holiday/make-a-hat-day/,Make a Hat Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/make-cut-out-snowflakes-day/,Make Cut-Out Snowflakes Day — Obscure Holiday Calendar,27,27,13,2,no,no,no,fun_weird_general,fun_weird_general,4,15.24
/holiday/make-life-beautiful-day/,Make Life Beautiful Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,fun_weird_general,fun_weird_general,4,11.24
/holiday/make-up-your-mind-day/,Make Up Your Mind Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/make-up-your-own-holiday-day/,Make Up Your Own Holiday Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/march-forth-day/,March Forth Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/may-day/,May Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/may-ray-day/,May-Ray Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/mean-girls-day/,Mean Girls Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/meteor-watch-day/,Meteor Watch Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/mickey-mouse-day/,Mickey Mouse Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/middle-childs-day/,Middle Childs Day — Obscure Holiday Calendar,25,25,7,2,no,no,no,fun_weird_general,fun_weird_general,4,9.0
/holiday/milk-chocolate-day/,Milk Chocolate Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,food_drink,food_drink,4,11.24
/holiday/mincemeat-day/,Mincemeat Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/miniature-golf-day/,Miniature Golf Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/mischief-night/,Mischief Night — Obscure Holiday Calendar,27,27,9,2,no,no,no,fun_weird_general,fun_weird_general,4,11.24
/holiday/moldy-cheese-day/,Moldy Cheese Day — Obscure Holiday Calendar,27,27,8,2,no,no,no,food_drink,food_drink,4,10.24
/holiday/monkey-day/,Monkey Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/moon-day/,Moon Day — Obscure Holiday Calendar,27,27,8,2,no,no,no,fun_weird_general,fun_weird_general,4,10.24
/holiday/morse-code-day/,Morse Code Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/muffin-day/,Muffin Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/mushroom-day/,Mushroom Day — Obscure Holiday Calendar,27,27,13,2,no,no,no,fun_weird_general,fun_weird_general,4,15.24
/holiday/name-your-poison-day/,Name Your Poison Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/name-yourself-day/,Name Yourself Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/national-7-eleven-day/,National 7-Eleven Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/national-alien-abduction-day/,National Alien Abduction Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/national-ampersand-day/,National Ampersand Day — Obscure Holiday Calendar,25,25,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.0
/holiday/national-animal-crackers-day/,National Animal Crackers Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/national-answer-your-cat-s-questions-day/,National Answer Your Cat's Questions Day — Obscure Holiday Calendar,27,27,8,2,no,no,no,animals_nature,animals_nature,4,10.24
